㔂	lân
落喉	lo̍h-âu
落塗	lo̍h-thôo
落尾	lo̍h-bué
落尾	lo̍h-bé
落尾手	lo̍h-bué-tshiú
落尾手	lo̍h-bé-tshiú
落屎	làu-sái
落屎星	làu-sái-tshenn
落屎星	làu-sái-tshinn
落屎馬	làu-sái-bé
落山	lo̍h-suann
夕陽西下    ji̍t-thâu-lo̍h-suann
日頭落海    ji̍t-thâu-lo̍h-hái
日頭落山    ji̍t-thâu-lo̍h-suann
落山風	lo̍h-suann-hong
落崎	lo̍h-kiā
落後年	loh-āu--nî
落後日	loh-āu--ji̍t
落後日	loh-āu--li̍t
落成	lo̍k-sîng
落手	lo̍h-tshiú
落昨日	loh-tso̍h--ji̍t
落昨日	loh-tso̍h--li̍t
落本	lo̍h-pún
落杓	làu-sia̍h
落氣	làu-khuì
落水	lo̍h-tsuí
落注	lo̍h-tù
落湳	lo̍h-làm
落漆	lak-tshat
落眠	lo̍h-bîn
落空車	làu-khang-tshia
落空逝	làu-khang-tsuā
落第	lo̍k-tē
落翼仔	làu-si̍t-á
落肥	lo̍h-puî
落胎	làu-the
落臉	lak-lián
落船	lo̍h-tsûn
落色	lak-sik
落落	làu-làu
落葬	lo̍h-tsòng
落衰	lo̍h-sue
落褲	làu-khòo
落貨	lo̍h-huè
落貨	lo̍h-hè
落跑	làu-phâu
落跤氣	lo̍h-kha-khì
腳氣病  lo̍h-kha-khì
落車	lo̍h-tshia
落軟	lo̍h-nńg
落選	lo̍k-suán
落難	lo̍h-lān
落雨	lo̍h-hōo
落雨天	lo̍h-hōo-thinn
落雪	lo̍h-seh
落霜	lo̍h-sng
落風	làu-hong
落魄	lo̍k-phik
葉	hio̍h
葉仔	hio̍h-á
著	tio̍h
著傷	tio̍h-siong
著咳嗾	tio̍h-ka-tsa̍k
著寒熱仔	tio̍h kuânn-jia̍t-á
著寒熱仔	tio̍h kuânn-lia̍t-á
著急	tio̍h-kip
著愛	tio̍h-ài
著時	tio̍h-sî
著水蛆	tio̍h-tsuí-tshi
著水蛆	tio̍h-tsuí-tshu
著火	to̍h-hué
著火	to̍h-hé
著災	tio̍h-tse
著猴	tio̍h-kâu
著獎	tio̍h-tsióng
著獎	tio̍h-tsiáng
著生驚	tio̍h-tshenn-kiann
著生驚	tio̍h-tshinn-kiann
著病	tio̍h-pēnn
著病	tio̍h-pīnn
著痧	tio̍h-sua
著蟲	tio̍h-thâng
著觸	tio̍h-tak
著賊偷	tio̍h-tsha̍t-thau
著銃	tio̍h-tshìng
著頭	tio̍h-thâu
著驚	tio̍h-kiann
葡萄	phû-tô
葡萄酒	phû-tô-tsiú
董事	táng-sū
葩	pha
葫蘆	hôo-lôo
葬	tsòng
葵扇	khuê-sìnn
扇子    khuê-sìnn
蒲扇    khuê-sìnn
芭蕉扇  pa-tsiau-sìnn
蒂	tì
蒂頭	tì-thâu
蒜	suàn
蒜頭    suàn-thâu
蒜仔	suàn-á
蒜仔花	suàn-á-hue
蒜茸	suàn-jiông
蒜茸	suàn-liông
蒜頭	suàn-thâu
蓄	hak
蓄厝	hak-tshù
蓄嫁粧	hak-kè-tsng
蓆	tshio̍h
蓋	kah
蓋蠟	kài-la̍h
蓋被	kah-phuē
蓋被	kah-phē
蓪草	thong-tshó
蓬	phōng
蓬心	pōng-sim
蓬萊米	hông-lâi-bí
蓬鬆	phōng-song
蓮子	liân-tsí
蓮花	liân-hue
蓮花金	liân-hue-kim
蓮花頭	liân-hue-thâu
蓮蕉花	liân-tsiau-hue
美人蕉	liân-tsiau-hue
𡳞鳥    lān-tsiáu
蓮藕	liân-ngāu
蓮霧	lián-bū
蔗	tsià
蔗箬	tsià-ha̍h
蔥	tshang
蔥仔	tshang-á
蔥仔餅	tshang-á-piánn
蔥頭	tshang-thâu
蔫	lian
蔭	ìm
蔭瓜仔	ìm-kue-á
蔭豉仔	ìm-sīnn-á
蔭身	ìm-sin
蕊	luí
蕗蕎	lōo-giō
蕨貓	kueh-niau
蕹菜	ìng-tshài
薁蕘	ò-giô
薄	po̍h
薄情	po̍k-tsîng
薄板	po̍h-pán
薄板仔	po̍h-pán-á
薄縭絲	po̍h-li-si
薄荷	po̍k-hô
薅	khau
薅草	khau tsháu
薏仁	ì-jîn
薏仁	ì-lîn
薑	kiunn
薑母	kiunn-bó
薑母鴨	kiunn-bó-ah
薑絲	kiunn-si
薟	hiam
薟椒仔	hiam-tsio-á
薟薑仔	hiam-kiunn-á
薪水	sin-suí
薯	tsî
薯	tsû
薰	hun
薰吹	hun-tshue
薰吹	hun-tshe
薰喙仔	hun-tshuì-á
薰屎	hun-sái
薰觳仔	hun-khok-á
薰頭	hun-thâu
薸	phiô
藃	hiauh
藃藃	hiauh-hiauh
藃蟶	hiauh-than
藍	nâ
藍色	nâ-sik
藏	tshàng
藏水沬	tshàng-tsuí-bī
藏鏡人	Tsông-kiànn-jîn
藏鏡人	Tsông-kiànn-lîn
藐視	biáu-sī
藝	gē
藝旦	gē-tuànn
藝術	gē-su̍t
藤	tîn
藥	io̍h
藥丸	io̍h-uân
藥丹	io̍h-tan
藥仔	io̍h-á
藥劑	io̍h-tse
藥劑師	io̍h-tsè-su
藥包	io̍h-pau
藥單	io̍h-tuann
藥局	io̍h-kio̍k
藥房	io̍h-pâng
藥方	io̍h-hng
藥材	io̍h-tsâi
藥櫥	io̍h-tû
藥水	io̍h-tsuí
藥水布	io̍h-tsuí-pòo
藥洗	io̍h-sé
藥洗	io̍h-sué
藥渣	io̍h-tse
藥片	io̍h-phìnn
藥粉	io̍h-hún
藥粕	io̍h-phoh
藥膏	io̍h-ko
藥茶	io̍h-tê
藥草	io̍h-tsháu
藥酒	io̍h-tsiú
藥鈷仔	io̍h-kóo-á
藥頭	io̍h-thâu-á
藥頭仔	io̍h-thâu-á
蘆竹	lôo-tik
蘆筍	lôo-sún
蘆薈	lôo-huē
蘆藤	lôo-tîn
蘆黍	lôo-sé
蘆黍	lôo-sué
蘋果	phông-kó
蘋果檨    ài-bûn
愛文    ài-bûn
蘑菇	môo-koo
蘭	lân
蘭花	lân-hue
虎	hóo
虎姑婆	Hóo-koo-pô
虎皮	hóo-phuê
虎皮	hóo-phê
虎豹母	hóo-pà-bú
虎頭夾仔	hóo-thâu-ngeh-á
虎頭柑	hóo-thâu-kam
虎頭蜂	hóo-thâu-phang
虎骨酒	hóo-kut-tsiú
虎鬚	hóo-tshiu
虎鼻師	hóo-phīnn-sai
處份	tshú-hūn
處方	tshú-hng
處理	tshú-lí
處置	tshú-tì
處罰	tshú-hua̍t
虛	hi
虛弱	hi-jio̍k
虛弱	hi-lio̍k
虛火	hi-hué
虛火	hi-hé
虛華	hi-hua
號	hō
號做	hō-tsò
號做	hō-tsuè
號名	hō-miâ
號碼	hō-bé
號頭	hō-thâu
虧心	khui-sim
虧損	khui-sńg
虧欠	khui-khiàm
虧空	khui-khong
虯	khiû
虯儉	khiû-khiām
虯毛	khiû-mn̂g
虯虯	khiû-khiû
虱目魚	sat-ba̍k-hî
海草魚    hái-tsháu-hî
虹	khīng
虼蚤	ka-tsáu
虼蚻	ka-tsua̍h
蚵	ô
蚵仔	ô-á
蚵仔煎	ô-á-tsian
蚵仔麵線	ô-á-mī-suànn
蚵炱	ô-te
蚶	ham
蚶仔	ham-á
蛀	tsiù
蛀蟲	tsiù-thâng
蛀鼻	tsiù-phīnn
蛀齒	tsiù-khí
蛀龜仔	tsiù-ku-á
蛆	tshi
蛆	tshu
蛇	tsuâ
蛇瓜	tsuâ-kue
蛟龍	kau-liông
蛤仔	kap-á
蛾仔	ia̍h-á
蜂	phang
蜂岫	phang-siū
蜂蜜	phang-bi̍t
蜂蝦	phang-hê
蜈蚣	giâ-kang
蜈蜞	ngôo-khî
蜈蜞釘	ngôo-khî-ting
蜊仔	lâ-á
蜘蛛	ti-tu
蜘蛛網	ti-tu-bāng
蜜	bi̍t
蜜月	bi̍t-gua̍t
蜷	khûn
蝒蟲	bīn-thâng
蝕	si̍h
蝕日	ji̍t-sit
日蝕    ji̍t-sit
日食    ji̍t-sit
蝕月	gue̍h-sit
月蝕    gue̍h-sit
月食    gue̍h-sit
蝕本	si̍h-pún
蝕重	si̍h-tāng
蝝	iân
蝦	hê
蝦仁	hê-lîn
蝦米    hê-bí
金鉤蝦    kim-kau-hê
蝦仔	hê-á
蝦卑	hê-pi
蝦卷	hê-kńg
蝦猴	hê-kâu
蝦蛄    hê-kâu
蝦笱	hê-kô
蝦米	hê-bí
蝦膎	hê-kê
蝦膎	hê-kuê
蝦蛄	hê-koo
蝦蛄擗仔	hê-koo-phia̍k-á
蝦蛄頭	hê-koo-thâu
蝨	sat
蝨母	káu-sat
蝨子    káu-sat
蝨篦	sat-pìn
蝴蝶	ôo-tia̍p
蝶仔	ia̍h-á
蝹	un
螺	lê
螺仔	lê-á
螺絲	lôo-si
螺絲絞	lôo-si-ká
螺絲釘	lôo-si-ting
螿蜍	tsiunn-tsî
蟋蟀仔	sih-sut-á
蟧蜈	lâ-giâ
蟧蜈車	lâ-giâ-tshia
蟬	siân
蟬仔	siân-á
蟮蟲仔	siān-thâng-á
蟯	giô
蟯仔	giô-á
蟯桮	giô-pue
蟯蟯趖	ngia̍uh-ngia̍uh-sô
蟲	thâng
蟲豸	thâng-thuā
蟳	tsîm
蟳仔	tsîm-á
蟳管	tsîm-kóng
蟳膏	tsîm-ko
蟶	than
蠍仔	giat-á
蠓	báng
蠓仔	báng-á
蠓仔水	báng-á-tsuí
蠓仔薰	báng-á-hun
蠓仔香	báng-á-hiunn
蠓捽仔	báng-sut-á
蠓罩	báng-tà
蠓蟲	báng-thâng
蠘仔	tshi̍h-á
蠟	la̍h
蠟條	la̍h-tiâu
蠟燭	la̍h-tsik
蠟筆	la̍h-pit
蠟紙	la̍h-tsuá
蠶豆	tshân-tāu
蠻皮	bân-phuê
蠻皮	bân-phê
蠻皮癬	bân-phuê-sián
蠻皮癬	bân-phê-sián
血	hiat
血型	huih-hîng
血壓	hueh-ap
血壓	huih-ap
血崩山	hueh-pang-suann
血崩山	huih-pang-suann
血氣	hueh-khì
血氣	huih-khì
血筋	hueh-kin
血筋	huih-kun
血管	hueh-kńg
血管	huih-kńg
血色	hueh-sik
血色	huih-sik
血蚶	hueh-ham
血蚶	huih-ham
血路	hueh-lōo
血路	huih-lōo
行	hâng
行動	hîng-tōng
行去	kiânn--khì
行後尾門	kiânn-āu-bué-mn̂g
行後尾門	kiânn-āu-bé-mn̂g
行徙	kiânn-suá
行情	hâng-tsîng
行春	kiânn-tshun
拜年    pài-nî
行李	hîng-lí
行棋	kiânn-kî
行氣	kiânn-khì
行為	hîng-uî
行短路	kiânn-té-lōo
行禮	kiânn-lé
行經	kiânn-king
行船	kiânn-tsûn
行船人	kiânn-tsûn-lâng
行袂開跤	kiânn-bē-khui-kha
行袂開跤	kiânn-buē-khui-kha
行跤花	kiânn-kha-hue
行路	kiânn-lōo
行路工	kiânn-lōo-kang
行踏	kiânn-ta̍h
行軍	hîng-kun
行透透	kiânn-thàu-thàu
行運	kiânn-ūn
行郊	hâng-kau
行醫	hîng-i
術	su̍t
街	ke
街	kue
街仔	ke-á
街仔	kue-á
街仔路	ke-á-lōo
街仔路	kue-á-lōo
街市	ke-tshī
街市	kue-tshī
街路	ke-lōo
街路	kue-lōo
街頭	ke-thâu
街頭	kue-thâu
衙門	gê-mn̂g
衛星	uē-tshenn
衛星	uē-tshinn
衛生	uē-sing
衛生箸	uē-sing-tī
衛生箸	uē-sing-tū
衛生紙	uē-sing-tsuá
衝	tshìng
衝動	tshiong-tōng
衝碰	tshóng-pōng
衝突	tshiong-tu̍t
衣	i
表	piáu
表兄	piáu-hiann
表兄弟	piáu-hiann-tī
表姊	piáu-tsí
表小妹	piáu-sió-muē
表小妹	piáu-sió-bē
表小弟	piáu-sió-tī
表情	piáu-tsîng
表演	piáu-ián
表現	piáu-hiān
表的	piáu--ê
表示	piáu-sī
表親	piáu-tshin
表面	piáu-bīn
衫	sann
衫仔弓	sann-á-king
衫仔櫥	sann-á-tû
衫仔裾	sann-á-ki
衫仔裾	sann-á-ku
衫仔褲	sann-á-khòo
衰	sue
衰䆀	sue-bái
衰尾	sue-bué
衰尾	sue-bé
衰尾道人	sue-bué-tō-jîn
衰尾道人	sue-bé-tō-lîn
衰潲	sue-siâu
衰運	sue-ūn
袂	bē
袂	buē
袂䆀	bē-bái
袂䆀	buē-bái
袂伸捙	bē-tshun-tshia
袂伸捙	buē-tshun-tshia
袂使	bē-sái
袂使	buē-sái
袂使得	bē-sái--tit
不可以  bē-sái--tit
使不得  bē-sái--tit
袂做得	bē-tsò--tit
袂做得	buē-tsuè--tit
袂博假博	bē-phok-ké-phok
袂博假博	buē-phok-ké-phok
袂合	bē ha̍h
袂合	buē ha̍h
袂和	bē-hô
袂和	buē-hô
袂堪得	bē-kham--tit
受不了  bē-kham-tit
禁不起  bē-kham-tit
無法承受    bē-kham-tit
袂得	bē-tit
袂得	buē-tit
袂得通	bē-tit-thang
袂得通	buē-tit-thang
袂得過	bē-tit kuè
袂得過	buē-tit kè
袂拄好	bē-tú-hó
袂拄好	buē-tú-hó
袂按算	bē àn-sǹg
袂按算	buē àn-sǹg
袂收山	bē-siu-suann
袂收山	buē-siu-suann
袂曉	bē-hiáu
袂曉	buē-hiáu
袂曉衰	bē-hiáu-sue
袂曉衰	buē-hiáu-sue
袂歹	bē pháinn
袂歹	buē pháinn
袂用得	bē-īng--tit
袂當	bē-tàng
袂當	buē-tàng
袂直	bē-ti̍t
袂直	buē-ti̍t
袂磕得	bē-kha̍p--tit
袂磕得	buē-kha̍p--tit
袂翻捙	bē-huan-tshia
袂翻捙	buē-huan-tshia
袂見笑	bē-kiàn-siàu
袂見笑	buē-kiàn-siàu
袂記得	bē kì--tit
忘記    bē kì--tit
遺忘    bē kì--tit
袂講得	bē-kóng--tit
說不得  bē-kóng--tit
不能說  bē-kóng--tit
袂赴	bē-hù
袂赴	buē-hù
袂赴市	bē-hù-tshī
袂赴市	buē-hù-tshī
袂輸	bē-su
袂輸	buē-su
袂輸講	bē-su-kóng
袂輸講	buē-su-kóng
袂食袂睏	bē-tsia̍h-bē-khùn
袂食袂睏	buē-tsia̍h-buē-khùn
袋	tē
袋仔	tē-á
袚	phua̍h
袚鍊	phua̍h-liān
被	pī
被單	phuē-tuann
被單	phē-tuann
被囊	phuē-lông
被囊	phē-lông
裁	tshâi
裁刀	tshâi-to
裁決	tshâi-kuat
裁縫	tshâi-hông
裁縫店	tshâi-hông-tiàm
裂	liah
裂開	li̍h--khui
裌裘	kiap-hiû
裒	pôo
裘	hiû
裘仔	hiû-á
裙	kûn
補	póo
補充	póo-tshiong
補冬	póo-tang
立冬    li̍p-tang
冬節    tang-tseh
補助	póo-tsōo
補喙齒	póo tshuì-khí
補添	póo-thiam
補破網	póo-phuà-bāng
補紩	póo-thīnn
補習	póo-si̍p
補藥	póo-io̍h
補血	póo-hueh
補血	póo-huih
補貼	póo-thiap
補運	póo-ūn
補運錢	póo-ūn-tsînn
補鼎	póo-tiánn
裝	tsng
修補破鍋    póo-tiánn
裝潢	tsong-hông
裝痟的	tsng-siáu--ê
裡	lí
製造	tsè-tsō
裾	ki
裾	ku
複雜	ho̍k-tsa̍p
褒	po
褒嗦	po-so
褒歌	po-kua
七字仔歌    tshit-jī-á-kua
褒獎	po-tsióng
褙	puè
褪	thǹg
褪殼	thǹg-khak
褪毛	thǹg-mn̂g
褪皮	thǹg-phuê
褪皮	thǹg-phê
褪腹裼	thǹg-pak-theh
褪衫	thǹg-sann
褪褲	thǹg-khòo
褪褲𡳞	thǹg-khòo-lān
褪赤跤	thǹg-tshiah-kha
褪齒	thǹg-khí
褫	thí
褫開	thí--khui
褲	khòo
褲帶	khòo-tuà
褲袋仔	khòo-tē-á
褲跤	khòo-kha
褲頭	khòo-thâu
襇	kíng
襪	bue̍h
襪仔	bue̍h-á
襻	phàn
西	sai
東  tang
西刀舌	sai-to-tsi̍h
西北	sai-pak
西北雨	sai-pak-hōo
西天	se-thian
西式	se-sik
西方	se-hong
西洋	se-iûnn
西洋人	se-iûnn-lâng
西照日	sai-tsiò-ji̍t
西照日	sai-tsiò-li̍t
西爿	sai-pîng
西瓜	si-kue
西秦王爺	Se-tsîn-ông-iâ
西藥	se-io̍h
西藥房	se-io̍h-pâng
西裝	se-tsong
西醫	se-i
西門町	Se-mn̂g-ting
要緊	iàu-kín
要領	iàu-líng
要點	iàu-tiám
覆	phak
覆菜	phak-tshài
見	kiàn
見怪	kiàn-kuài
見擺	kiàn-pái
見效	kiàn-hāu
見本	kiàn-pún
見笑	kiàn-siàu
見笑代	kiàn-siàu-tāi
見笑草	kiàn-siàu-tsháu
見習	kiàn-si̍p
見若	kiàn-nā
見解	kiàn-kái
見面	kìnn-bīn
規	kui
規世人	kui-sì-lâng
規个	kui-ê
規則	kui-tsik
規千萬	kui-tshing-bān
規嚾規黨	kui-uang-kui-tóng
規堆	kui-tui
規定	kui-tīng
規家伙仔	kui-ke-hué-á
規家伙仔	kui-ke-hé-á
規工	kui-kang
規年迵天	kui-nî-thàng-thinn
規律	kui-lu̍t
規心	kui-sim
規模	kui-bôo
規氣	kui-khì
規爿	kui-pîng
規矩	kui-kí
規矩	kui-kú
規碗捀	kui-uánn-phâng
規腹火	kui-pak-hué
規腹火	kui-pak-hé
規路	kui-lōo
規身軀	kui-sin-khu
規陣	kui-tīn
規面	kui bīn
覓	bā
覕	bih
覕喙	bih-tshuì
覕相揣	bih-sio-tshuē
覕相揣	bih-sio-tshē
覕雨	bih-hōo
覕鬚	bih-tshiu
視力	sī-li̍k
親	tshin
親事	tshin-sū
親人	tshin-lâng
親像	tshin-tshiūnn
親切	tshin-tshiat
親友	tshin-iú
親喙	tshin-tshuì
親堂	tshin-tông
親姆	tshenn-ḿ
親姆	tshinn-ḿ
親姆婆	tshenn-ḿ-pô
親姆婆	tshinn-ḿ-pô
親家	tshin-ke
親家公	tshin-ke-kong
親密	tshin-bi̍t
親情	tshin-tsiânn
親情五十	tshin-tsiânn-gōo-tsa̍p
親愛	tshin-ài
親戚	tshin-tshik
親手	tshin-tshiú
親族	tshin-tso̍k
親生	tshin-senn
親生	tshin-sinn
親疊親	tshin-tha̍h-tshin
親目	tshin-ba̍k
親身	tshin-sin
親近	tshin-kīn
親近	tshin-kūn
親骨肉	tshin-kut-jio̍k
親骨肉	tshin-kut-lio̍k
覺悟	kak-ngōo
覺醒	kak-tshénn
覺醒	kak-tshínn
觀光	kuan-kong
觀前顧後	kuan-tsîng-kòo-āu
觀察	kuan-tshat
觀念	kuan-liām
觀音	Kuan-im
觀音竹	kuan-im-tik
角	kak
角勢	kak-sì
角色	kak-sik
角蜂	kak-phang
角頭	kak-thâu
角鼓	kak-kóo
角齒	kak-khí
解	kái
解厄	kái-eh
解圍	kái-uî
解心悶	kái-sim-būn
解悶	kái-būn
解愁	kái-tshiû
解散	kái-sàn
解毒	kái-to̍k
解決	kái-kuat
解答	kái-tap
解約	kái-iok
解脫	kái-thuat
解說	kái-sueh
解說	kái-seh
解酒	kái-tsiú
解釋	kái-sik
解除	kái-tû
觱仔	pi-á
觳	khok
觳仔	khok-á
觳仔炱	khok-á-te
觸	tak
觸犯	tshiok-huān
觸纏	tak-tînn
觸舌	tak-tsi̍h
言	giân
言詞	giân-sû
言語	giân-gí
言語	giân-gú
言論	giân-lūn
訂	tīng
訂婚	tīng-hun
訃音	hù-im
計	kè
計智	kè-tì
計畫	kè-uē
計程車	kè-thîng-tshia
計策	kè-tshik
計算	kè-sǹg
計謀	kè-bôo
計較	kè-kàu
討	thó
討人情	thó-jîn-tsîng
討人情	thó-lîn-tsîng
討債	thó-tsè
討債囝	thó-tsè-kiánn
討厭	thó-ià
討命	thó-miā
討契兄	thó-khè-hiann
討契兄	thó-khuè-hiann
討數	thó-siàu
討海	thó-hái
討海人	thó-hái-lâng
討皮疼	thó-phuê-thiànn
討皮疼	thó-phê-thiànn
討論	thó-lūn
討趁	thó-thàn
討錢	thó-tsînn
討食	thó-tsia̍h
訕削	suān-siah
訕潲	suān-siâu
託	thok
託夢	thok-bāng
記	kì
記性	kì-sìng
記憶	kì-ik
記持	kì-tî
記數	kì-siàu
記者	kì-tsiá
記號	kì-hō
記認	kì-jīn
記認	kì-līn
訣	kuat
訪問	hóng-būn
設	siat
設使	siat-sú
設備	siat-pī
設局	siat-kio̍k
設想	siat-sióng
設施	siat-si
設立	siat-li̍p
設緣投	siat-iân-tâu
設計	siat-kè
許可	hí-khó
許可	hú-khó
訴	sòo
訴狀	sòo-tsn̄g
診察	tsín-tshat
診所	tsín-sóo
診斷	tsín-tuàn
註	tsù
註冊	tsù-tsheh
註好好	tsù-hó-hó
註定	tsù-tiānn
註明	tsù-bîng
註死	tsù-sí
註生娘娘	tsù-sinn-niû-niû
婆姐    Pô-tsiá
註解	tsù-kái
註銷	tsù-siau
詈	lé
詈	lué
詐欺	tsà-khi
評	phîng
評判	phîng-phuànn
評論	phîng-lūn
詞	sû
詞彙	sû-luī
試	tshì
試探	tshì-thàm
試看	tshì-khuànn
試看覓	tshì-khuànn-māi
試驗	tshì-giām
試鹹汫	tshì kiâm-tsiánn
詩	si
詩歌	si-kua
詬詬唸	kāu-kāu-liām
詭計	kuí-kè
話	uē
話仙	uē-sian
話尾	uē-bué
話尾	uē-bé
話屎	uē-sái
話柄	uē-pènn
話柄	uē-pìnn
話母	uē-bó
話縫	uē-phāng
話蝨	uē-sat
話頭	uē-thâu
話骨	uē-kut
該	kai
該死	kai-sí
該然	kai-jiân
該然	kai-liân
該當	kai-tong
詳情	siông-tsîng
詳細	siông-sè
詼	khue
詼諧	khue-hâi
誇口	khua-kháu
認	jīn
認	līn
認份	jīn-hūn
認份	līn-hūn
認同	jīn-tông
認同	līn-tông
認命	jīn-miā
認命	līn-miā
認定	jīn-tīng
認定	līn-tīng
認捌	jīn-bat
認捌	līn-bat
認真	jīn-tsin
認真	līn-tsin
認罪	jīn-tsuē
認罪	līn-tsuē
認路	jīn-lōo
認路	līn-lōo
認輸	jīn-su
認輸	līn-su
認錯	jīn-tshò
認錯	līn-tshò
誓	tsuā
誓不兩立	sè-put-lióng-li̍p
誘	iú
語	gí
語	gú
語法	gí-huat
語法	gú-huat
語言	gí-giân
語言	gú-giân
誠	tsiânn
誠實	tsiânn-si̍t
誠意	sîng-ì
誠懇	sîng-khún
誡	kài
誣賴	bû-luā
誤	gōo
誤會	gōo-huē
誤解	gōo-kái
誦經	siōng-king
說	suat
說多謝	sueh-to-siā
說多謝	seh-to-siā
說客	suè-kheh
說明	suat-bîng
說謝	sueh-siā
說謝	seh-siā
誰	tsuî
課	khò
課文	khò-bûn
課本	khò-pún
課程	khò-tîng
誹謗	huí-pòng
調	tiâu
調停	tiâu-thîng
調動	tiàu-tōng
調整	tiâu-tsíng
調查	tiâu-tsa
調羹仔	thâu-king-á
調解	tiâu-kái
調養	tiâu-ióng
談	tâm
談判	tâm-phuànn
談論	tâm-lūn
請	tshiánn
請人客	tshiánn-lâng-kheh
請假	tshíng-ká
請命	tshíng-bīng
請問	tshiánn-mn̄g
請坐	tshiánn-tsē
請安	tshíng-an
請帖	tshiánn-thiap
請教	tshíng-kàu
請桌	tshiánn-toh
請求	tshíng-kiû
請示	tshíng-sī
請神	tshiánn-sîn
請罪	tshíng-tsuē
諍	tsènn
諍	tsìnn
諍喙	tsènn-tshuì
諍喙	tsìnn-tshuì
諒情	liōng-tsîng
諒解	liōng-kái
論	lūn
論文	lūn-bûn
論真	lūn-tsin
諞	pián
諞仙仔	pián-sian-á
謀財害命	bôo-tsâi-hāi-bīng
謄本	thîng-pún
謎猜	bī-tshai
謔	gio̍h
謙卑	khiam-pi
謙虛	khiam-hi
講	káng
講價	kóng-kè
講古	kóng-kóo
講和	kóng-hô
講嘐潲話	kóng hau-siâu-uē
講堂	káng-tn̂g
講大聲話	kóng tuā-siann-uē
講好	kóng-hó
講師	káng-su
講情	kóng-tsîng
講明	kóng-bîng
講演	káng-ián
講白賊	kóng-pe̍h-tsha̍t
講破	kóng-phuà
講究	káng-kiù
講笑	kóng-tshiò
講笑詼	kóng-tshiò-khue
講笑詼	kóng-tshiò-khe
講習	káng-si̍p
講親情	kóng-tshin-tsiânn
講話	kóng-uē
講起	kóng-khí
謝	tsiā
謝神	siā-sîn
謝禮	siā-lé
謝絕	siā-tsua̍t
謝罪	siā-tsuē
謝金	siā-kim
謝願	siā-guān
謠言	iâu-giân
謹慎	kín-sīn
謼	hooh
譀	hàm
譀古	hàm-kóo
譀呱呱	hàm-kuā-kuā
譀浡	hàm-phu̍h
譀話	hàm-uē
譀譀	hàm-hàm
譀鏡	hàm-kiànn
證	tsìng
證人	tsìng-jîn
證人	tsìng-lîn
證券	tsìng-kuàn
證據	tsìng-kì
證據	tsìng-kù
證明	tsìng-bîng
證書	tsìng-su
識	sik
譜	phóo
警告	kíng-kò
警報	kíng-pò
警察	kíng-tshat
警察局	kíng-tshat-kio̍k
警戒	kíng-kài
譬喻	phì-jū
譬喻	phì-lū
譬相	phì-siùnn
譬論講	phì-lūn-kóng
議員	gī-uân
議場	gī-tiûnn
議會	gī-huē
議案	gī-àn
議論	gī-lūn
議長	gī-tiúnn
譴損	khiàn-sńg
譴責	khián-tsik
護士	hōo-sū
護法	hōo-huat
護照	hōo-tsiàu
護理	hōo-lí
護身符	hōo-sin-hû
護龍	hōo-lîng
讀	tha̍k
讀冊	tha̍k-tsheh
讀冊人	tha̍k-tsheh-lâng
讀死冊	tha̍k-sí-tsheh
讀者	tho̍k-tsiá
變	piàn
變化	piàn-huà
變卦	piàn-kuà
變啥魍	pìnn-siánn-báng
變工藝	pìnn-kang-gē
變弄	pìnn-lāng
變心	piàn-sim
變更	piàn-king
變款	piàn-khuán
變步	piàn-pōo
變無魍	pìnn-bô-báng
變猴弄	pìnn-kâu-lāng
變相	piàn-siòng
變空	pìnn-khang
變竅	piàn-khiàu
變色	piàn-sik
變通	piàn-thong
變面	pìnn-bīn
變鬼	pìnn-kuí
變鬼變怪	pìnn-kuí-pìnn-kuài
讓	niū
讓位	niū-uī
讓手	niū-tshiú
讓步	niū-pōo
讓渡	jiōng-tōo
讓渡	liōng-tōo
讖	tshàm
讚	tsán
豆	tāu
豆乳	tāu-jú
豆乳	tāu-lú
豆乾	tāu-kuann
豆乾糋	tāu-kuann-tsìnn
豆仔	tāu-á
豆仔薯	tāu-á-tsî
豆仔薯	tāu-á-tsû
豆仔魚	tāu-á-hî
豆仔魚	tāu-á-hû
豆奶	tāu-ling
豆奶	tāu-ni
豆沙	tāu-se
豆油	tāu-iû
豆油膏	tāu-iû-ko
豆皮	tāu-phuê
豆皮	tāu-phê
豆箍	tāu-khoo
豆簽	tāu-tshiam
豆粕	tāu-phoh
豆腐	tāu-hū
豆腐鯊	tāu-hū-sua
豆花	tāu-hue
豆莢	tāu-ngeh
豆菜	tāu-tshài
豆菜底的	tāu-tshài-té--ê
豆菜底的	tāu-tshài-tué--ê
豆藤	tāu-tîn
豆豉	tāu-sīnn
豆酺	tāu-pôo
豆醬	tāu-tsiùnn
豆醬湯	tāu-tsiùnn-thng
豆頭	tāu-thâu
豆餅	tāu-piánn
豆餡	tāu-ānn
豆鹹	tāu-kiâm
豈有此理	khí-iú-tshú-lí
豉	sīnn
豉膎	sīnn-kê
豉膎	sīnn-kuê
豉鹽	sīnn-iâm
豐富	hong-hù
豐年	hong-nî
豐收	hong-siu
豐沛	phong-phài
豔色	iām-sik
豚母	thûn-bú
石女    si̍k-lú
石女    tsio̍h-lú
象	tshiūnn
象桮	siūnn-pue
象棋	tshiūnn-kî
豬	ti
豬	tu
豬仔	ti-á
豬仔	tu-á
豬仔囝	ti-á-kiánn
